v1	d(Id(M1))/Id(M1)
Step Information: L=16n  (Run: 1/5)
6.700000000000005e-002	2.331462e+001
6.800000000000005e-002	2.328988e+001
6.900000000000005e-002	2.326493e+001
7.000000000000005e-002	2.323978e+001
7.100000000000005e-002	2.321442e+001
7.200000000000005e-002	2.318885e+001
7.300000000000005e-002	2.316306e+001
7.400000000000005e-002	2.313708e+001
7.500000000000005e-002	2.311089e+001
7.600000000000005e-002	2.308447e+001
7.700000000000006e-002	2.305781e+001
7.800000000000006e-002	2.303094e+001
7.900000000000006e-002	2.300392e+001
8.000000000000006e-002	2.297667e+001
8.100000000000006e-002	2.294915e+001
8.200000000000006e-002	2.292144e+001
8.300000000000006e-002	2.289354e+001
8.400000000000006e-002	2.286542e+001
8.500000000000006e-002	2.283708e+001
8.600000000000006e-002	2.280845e+001
8.700000000000006e-002	2.277970e+001
8.800000000000006e-002	2.275071e+001
8.900000000000007e-002	2.272147e+001
9.000000000000007e-002	2.269204e+001
9.100000000000007e-002	2.266240e+001
9.200000000000007e-002	2.263252e+001
9.300000000000007e-002	2.260241e+001
9.400000000000007e-002	2.257210e+001
9.500000000000007e-002	2.254159e+001
9.600000000000007e-002	2.251084e+001
9.700000000000007e-002	2.247984e+001
9.800000000000007e-002	2.244866e+001
9.900000000000007e-002	2.241724e+001
1.000000000000001e-001	2.238560e+001
1.010000000000001e-001	2.235376e+001
1.020000000000001e-001	2.232171e+001
1.030000000000001e-001	2.228939e+001
1.040000000000001e-001	2.225686e+001
1.050000000000001e-001	2.222414e+001
1.060000000000001e-001	2.219118e+001
1.070000000000001e-001	2.215799e+001
1.080000000000001e-001	2.212457e+001
1.090000000000001e-001	2.209097e+001
1.100000000000001e-001	2.205715e+001
1.110000000000001e-001	2.202302e+001
1.120000000000001e-001	2.198869e+001
1.130000000000001e-001	2.195425e+001
1.140000000000001e-001	2.191952e+001
1.150000000000001e-001	2.188449e+001
1.160000000000001e-001	2.184932e+001
1.170000000000001e-001	2.181393e+001
1.180000000000001e-001	2.177827e+001
1.190000000000001e-001	2.174241e+001
1.200000000000001e-001	2.170638e+001
1.210000000000001e-001	2.167004e+001
1.220000000000001e-001	2.163351e+001
1.230000000000001e-001	2.159677e+001
1.240000000000001e-001	2.155976e+001
1.250000000000001e-001	2.152260e+001
1.260000000000001e-001	2.148515e+001
1.270000000000001e-001	2.144750e+001
1.280000000000001e-001	2.140966e+001
1.290000000000001e-001	2.137152e+001
1.300000000000001e-001	2.133318e+001
1.310000000000001e-001	2.129467e+001
1.320000000000001e-001	2.125589e+001
1.330000000000001e-001	2.121687e+001
1.340000000000001e-001	2.117767e+001
1.350000000000001e-001	2.113823e+001
1.360000000000001e-001	2.109853e+001
1.370000000000001e-001	2.105861e+001
1.380000000000001e-001	2.101848e+001
1.390000000000001e-001	2.097812e+001
1.400000000000001e-001	2.093759e+001
1.410000000000001e-001	2.089677e+001
1.420000000000001e-001	2.085571e+001
1.430000000000001e-001	2.081447e+001
1.440000000000001e-001	2.077292e+001
1.450000000000001e-001	2.073121e+001
1.460000000000001e-001	2.068933e+001
1.470000000000001e-001	2.064716e+001
1.480000000000001e-001	2.060470e+001
1.490000000000001e-001	2.056204e+001
1.500000000000001e-001	2.051922e+001
1.510000000000001e-001	2.047618e+001
1.520000000000001e-001	2.043281e+001
1.530000000000001e-001	2.038922e+001
1.540000000000001e-001	2.034548e+001
1.550000000000001e-001	2.030149e+001
1.560000000000001e-001	2.025725e+001
1.570000000000001e-001	2.021272e+001
1.580000000000001e-001	2.016801e+001
1.590000000000001e-001	2.012313e+001
1.600000000000001e-001	2.007794e+001
1.610000000000001e-001	2.003249e+001
1.620000000000001e-001	1.998686e+001
1.630000000000001e-001	1.994100e+001
1.640000000000001e-001	1.989488e+001
1.650000000000001e-001	1.984857e+001
1.660000000000001e-001	1.980197e+001
1.670000000000001e-001	1.975515e+001
1.680000000000001e-001	1.970811e+001
1.690000000000001e-001	1.966082e+001
1.700000000000001e-001	1.961329e+001
1.710000000000001e-001	1.956553e+001
1.720000000000001e-001	1.951756e+001
1.730000000000001e-001	1.946928e+001
1.740000000000001e-001	1.942084e+001
1.750000000000001e-001	1.937213e+001
1.760000000000001e-001	1.932313e+001
1.770000000000001e-001	1.927397e+001
1.780000000000001e-001	1.922452e+001
1.790000000000001e-001	1.917487e+001
1.800000000000001e-001	1.912494e+001
1.810000000000001e-001	1.907474e+001
1.820000000000001e-001	1.902440e+001
1.830000000000001e-001	1.897376e+001
1.840000000000001e-001	1.892285e+001
1.850000000000001e-001	1.887177e+001
1.860000000000001e-001	1.882041e+001
1.870000000000001e-001	1.876877e+001
1.880000000000001e-001	1.871694e+001
1.890000000000001e-001	1.866485e+001
1.900000000000001e-001	1.861252e+001
1.910000000000001e-001	1.855994e+001
1.920000000000001e-001	1.850711e+001
1.930000000000001e-001	1.845408e+001
1.940000000000001e-001	1.840079e+001
1.950000000000002e-001	1.834726e+001
1.960000000000002e-001	1.829344e+001
1.970000000000002e-001	1.823943e+001
1.980000000000002e-001	1.818519e+001
1.990000000000002e-001	1.813068e+001
2.000000000000002e-001	1.807595e+001
2.010000000000002e-001	1.802098e+001
2.020000000000002e-001	1.796574e+001
2.030000000000002e-001	1.791030e+001
2.040000000000002e-001	1.785461e+001
2.050000000000002e-001	1.779866e+001
2.060000000000002e-001	1.774254e+001
2.070000000000002e-001	1.768615e+001
2.080000000000002e-001	1.762949e+001
2.090000000000002e-001	1.757266e+001
2.100000000000002e-001	1.751556e+001
2.110000000000002e-001	1.745826e+001
2.120000000000002e-001	1.740069e+001
2.130000000000002e-001	1.734293e+001
2.140000000000002e-001	1.728497e+001
2.150000000000002e-001	1.722673e+001
2.160000000000002e-001	1.716829e+001
2.170000000000002e-001	1.710967e+001
2.180000000000002e-001	1.705082e+001
2.190000000000002e-001	1.699168e+001
2.200000000000002e-001	1.693241e+001
2.210000000000002e-001	1.687294e+001
2.220000000000002e-001	1.681320e+001
2.230000000000002e-001	1.675325e+001
2.240000000000002e-001	1.669312e+001
2.250000000000002e-001	1.663284e+001
2.260000000000002e-001	1.657234e+001
2.270000000000002e-001	1.651163e+001
2.280000000000002e-001	1.645071e+001
2.290000000000002e-001	1.638960e+001
2.300000000000002e-001	1.632833e+001
2.310000000000002e-001	1.626689e+001
2.320000000000002e-001	1.620529e+001
2.330000000000002e-001	1.614348e+001
2.340000000000002e-001	1.608145e+001
